clean_text,label
as alfred the great defends his kingdom from norse invaders uhtredborn a saxon but raised by vikingsseeks to claim his ancestral birthright,high
centers on ingrid yun an idealistic young lawyer struggles with her moral compass and her passions as she fights to climb the partner track at an elite new york city law firm,medium
a young woman takes a trip to romantic verona italy after a breakup only to find that the villa she reserved was doublebooked and shell have to share her vacation with a cynical british man,low
an anthology series exploring a twisted hightech multiverse where humanitys greatest innovations and darkest instincts collide,high
comedy series following the exploits of det jake peralta and his diverse lovable colleagues as they police the nypds th precinct,high
hundreds of cashstrapped players accept a strange invitation to compete in childrens games inside a tempting prize awaits with deadly high stakes a survival game that has a whopping billionwon prize at stake,high
a dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in stars hollow connecticut,high
an english combat nurse from is mysteriously swept back in time to,high
in a remote town in iceland police desperately try to solve a crime as a powerful storm descends upon the town,high
the complicated life of a modernday first generation indian american teenage girl inspired by mindy kalings own childhood,medium
after his hometown is destroyed and his mother is killed young eren jaeger vows to cleanse the earth of the giant humanoid titans that have brought humanity to the brink of extinction,high
a commercial airliner suddenly reappears after being missing for five years as those aboard reintegrate into society they experience guiding voices and visions of events yet to occur and soon a deeper mystery unfolds,medium
after their father is murdered under mysterious circumstances the three locke siblings and their mother move into their ancestral home keyhouse which they discover is full of magical keys that may be connected to their fathers death,medium
a hardworking bluecollar dad just wants to provide a good life for his quickwitted yearold daughter his mundane san fernando valley pool cleaning job is a front for his real source of income hunting and killing vampires,medium
a family saga with a supernatural twist set in a german town where the disappearance of two young children exposes the relationships among four families,high
a teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school,high
gandalf and aragorn lead the world of men against saurons army to draw his gaze from frodo and sam as they approach mount doom with the one ring,high
the lives loves dangers and disasters in the town mystic falls virginia creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers,medium
seeking a fresh start nurse practitioner melinda monroe moves from los angeles to a remote northern california town and is surprised by what and who she finds,medium
in a wacky rhode island town a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another,high
various chronicles of deception intrigue and murder in and around frozen minnesota yet all of these tales mysteriously lead back one way or another to fargo north dakota,high
centers on a southern california family whose excessive lifestyle is fueled by their criminal activities,high
a gigolos life begins to unravel when he becomes involved in a clients family affairs and violates the fundamental rule of his job dont fall in love,medium
a father recounts to his children through a series of flashbacks the journey he and his four best friends took leading up to him meeting their mother,high
a fresh look at hartley high over years on with her new friends outsiders quinni and darren amerie must repair her reputation while navigating love sex and heartbreak,medium
a suspended lawyer is forced to enroll in a community college with an eccentric staff and student body,high
a blind lawyer by day vigilante by night matt murdock fights the crime of new york as daredevil,high
revolves around a family of new york cops,medium
bee an unemployed woman is living a normal life until a grumpy companion named puppycat arrives follow bee and and puppycat as they travel between reality and fishbowl space,high
follows a couple who appear to be living the perfect life after their son is declared healthy following a longterm illness,medium
after being a victim of fraud johnny rose and his family go from extremely wealthy to penniless overnight the only asset left to them is a small unsophisticated town schitts creek they relocate there culture shock ensues,high
buster moon and his friends must persuade reclusive rock star clay calloway to join them for the opening of a new show,medium
a fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in s,high
set in utopian piltover and the oppressed underground of zaun the story follows the origins of two iconic league championsand the power that will tear them apart,high
what happened to anneelisabeth hagen where is she was she kidnapped by money launderers or is it her husband who may have made her disappear,medium
while frodo and sam edge closer to mordor with the help of the shifty gollum the divided fellowship makes a stand against saurons new ally saruman and his hordes of isengard,high
a young german soldiers terrifying experiences and distress on the western front during world war i,high
a wealthy new york city investment banking executive patrick bateman hides his alternate psychopathic ego from his coworkers and friends as he delves deeper into his violent hedonistic fantasies,medium
a reluctant hobbit bilbo baggins sets out to the lonely mountain with a spirited group of dwarves to reclaim their mountain home and the gold within it from the dragon smaug,medium
after the fall of the berlin wall a former spy killer is set free and embarks on a revenge spree against the people who conspired to betray her,medium
while navigating the troubled waters of romance school and family archie and his gang become entangled in dark riverdale mysteries,medium
a biker struggles to balance being a father and being involved in an outlaw motorcycle club,high
a drama about one of new yorks most prestigious ad agencies at the beginning of the s focusing on one of the firms most mysterious but extremely talented ad executives donald draper,high
after being struck by lightning barry allen wakes up from his coma to discover hes been given the power of super speed becoming the flash and fighting crime in central city,medium
covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones,high
story of the milwaukee monster told from the perspective of the victims and police incompetency that allowed the wisconsin native to go on a multiyear killing spree,high
elliot a brilliant but highly unstable young cybersecurity engineer and vigilante hacker becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for,high
a comedy revolving around a group of teenage friends their mishaps and their coming of age set in s wisconsin,high
a dangerously charming intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by,medium
on the eve of her college graduation natalies life diverges into parallel realities one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to la to pursue her dream career,medium
massimo is a member of the sicilian mafia family and laura is a sales director she does not expect that on a trip to sicily trying to save her relationship massimo will kidnap her and give her days to fall in love with him,low
follows vince a desperate former popstar who dreams of making a comeback an impromptu jam session with autistic young drummer stevie sparks an unexpected friendship between the two misunderstood musicians,medium
a seventeenyearold aristocrat falls in love with a kind but poor artist aboard the luxurious illfated rms titanic,medium
wealth lust and betrayal set against the backdrop of regencyera england seen through the eyes of the powerful bridgerton family,medium
a modern update finds the famous sleuth and his doctor partner solving crime in stcentury london,high
hes smart hes lovable hes dexter morgan americas favorite serial killer who spends his days solving crimes and nights committing them golden globe winner michael c hall stars in the hit showtime original series,high
after a bad breakup jess an offbeat young woman moves into an apartment loft with three single men although they find her behavior very unusual the men support her most of the time,medium
in the th century a group of humans untangle a vast plot which threatens the solar systems fragile state of detente,high
in spite of their many differences cassie a struggling singersongwriter and luke a troubled marine agree to marry solely for military benefits but when tragedy strikes the line between real and pretend begins to blur,medium
an american expat tries to sell off his highly profitable marijuana empire in london triggering plots schemes bribery and blackmail in an attempt to steal his domain out from under him,medium
shaun murphy a young surgeon with autism and savant syndrome is recruited into the surgical unit of a prestigious hospital,high
a chronicle of the lives of the british aristocratic crawley family and their servants in the early twentieth century,high
about an autistic yearold lawyer due to her high iq of impressive memory and creative thought process the brilliant woo young woo graduated at the top of her class from a prestigious law school,high
a young clark kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in smallville kansas,medium
set almost years after captain kirks year mission a new generation of starfleet officers set off in the uss enterprised on its own mission to go where no one has gone before,high
bojack horseman was the star of the hit television show horsin around in the s and s but now hes washed up living in hollywood complaining about everything and wearing colorful sweaters,high
a collection of animated short stories that span various genres including science fiction fantasy horror and comedy,high
an unusual group of robbers attempt to carry out the most perfect robbery in spanish history stealing billion euros from the royal mint of spain,high
convicted of a decade old crime of transporting drug money to an exgirlfriend normally lawabiding piper chapman is sentenced to a year and a half behind bars to face the reality of how lifechanging prison can really be,high
a pragmatic paleontologist touring an almost complete theme park on an island in central america is tasked with protecting a couple of kids after a power failure causes the parks cloned dinosaurs to run loose,high
due to a political conspiracy an innocent man is sent to death row and his only hope is his brother who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out from the inside,high
new money means no mercy as mike prince takes the axe capital throne chuck rhoades is convinced no one should have that much wealth or power as all the players seek out new alliances only one things for certain wealth means war,high
a young woman with a troubled past is drawn to a small town in maine where fairy tales are to be believed,medium
a team of young superheroes combat evil and other perils,medium
set years after a nuclear war destroyed civilization when a spaceship housing humanitys lone survivors sends juvenile delinquents back to earth hoping to repopulate the planet,medium
when a killer shark unleashes chaos on a beach community off cape cod its up to a local sheriff a marine biologist and an old seafarer to hunt the beast down,high
in late september a renowned catholic school in rome for sheltered uppermiddleclass boys is attacked in what became known as the circeo massacre the film examines what triggered the violence,low
follows the misadventures of four irreverent gradeschoolers in the quiet dysfunctional town of south park colorado,high
the life of spartacus the gladiator who lead a rebellion against the romans from his time as an ally of the romans to his betrayal and becoming a gladiator to the rebellion he leads and its ultimate outcome,high
shallow rich and socially successful cher is at the top of her beverly hills high schools pecking scale seeing herself as a matchmaker cher first coaxes two teachers into dating each other,medium
a young woman returns to her hometown to help save her sisters failing inn where she contends with memories and faces from her past,medium
a family is attacked by demons and only two members survive tanjiro and his sister nezuko who is turning into a demon slowly tanjiro sets out to become a demon slayer to avenge his family and cure his sister,high
orphaned at the tender age of nine prodigious introvert beth harmon discovers and masters the game of chess in s usa but child stardom comes at a price,high
four friends band together against an anonymous foe who threatens to reveal their darkest secrets while also investigating the disappearance of their best friend,medium
set in the late s two fbi agents are tasked with interviewing serial killers to solve open cases,high
professional writer and amateur sleuth jessica fletcher uses her intellect charm and persistence to get to the bottom of every crime she encounters,medium
unravel the mystery of a city in middle usa that imprisons everyone who enters as the residents struggle to maintain a sense of normalcy and seek a way out they must also survive the threats of the surrounding forest,medium
in the near future convicts are offered the chance to volunteer as medical subjects to shorten their sentence one such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions,low
series following an elite team of police forensic evidence investigation experts as they work their cases in las vegas,medium
a skeptical clinical psychologist joins a priestintraining and a blue collar contractor as they investigate supposed abnormal events including demonic possession and other extraordinary occurrences to see if theres a scientific explanation or if something truly supernaturals at work,medium
an iconoclastic idealist runs his law practice out of the back of his lincoln town car in this series based on michael connellys bestselling novels,medium
levelheaded son michael bluth takes over family affairs after his father is imprisoned but the rest of his spoiled dysfunctional family are making his job unbearable,high
a multigenerational saga set in alberta canada and centered on a family getting through life together in both happy and trying times,high
mo najjar who straddles the line between two cultures three languages and a ton of bullshit the fictional mo is a palestinian refugee living one step away from asylum on the path to us citizenship,medium
a journalist with a lot to prove investigates the case of anna delvey the instagramlegendary german heiress who stole the hearts of new yorks social scene and stole their money as well,medium
in the summer of a group of bullied kids band together to destroy a shapeshifting monster which disguises itself as a clown and preys on the children of derry their small maine town,medium
a chronicled look at the criminal exploits of colombian drug lord pablo escobar as well as the many other drug kingpins who plagued the country through the years,high
anthology series that examines how and why ordinary people commit brutal crimes,medium
a bipolar cia operative becomes convinced a prisoner of war has been turned by alqaeda and is planning to carry out a terrorist attack on american soil,high
flashing between past and present a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it,high
the trials and tribulations of dr martin ellingham who moves from london to the picturesque village of portwenn in cornwall,high
when steve mcgarrett returns home to oahu to find his fathers killer the governor offers him the chance to run his own task force five,medium
in the rd century captain james t kirk and the crew of the uss enterprise explore the galaxy and defend the united federation of planets,high
laura and massimos relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious nacho works to push them apart,low
two lowlevel astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet earth,medium
in the s william murdoch uses radical forensic techniques for the time including fingerprinting and trace evidence to solve some of the citys most gruesome murders,high
alicia florrick has been a good wife to her husband a former states attorney after a very humiliating sex and corruption scandal he is behind bars she must now provide for her family and returns to work as a litigator in a law firm,high
dark forces conspire against orphan mapmaker alina starkov when she unleashes an extraordinary power that could change the fate of her wartorn world,medium
a suburban mother of two takes a fantasycharged trip down memory lane that sets her very married present on a collision course with her wildchild past,low
a former roman general sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery,high
after the murder of his family marine veteran frank castle becomes the vigilante known as the punisher with only one goal in mind to avenge them,high
an isolated island community experiences miraculous events and frightening omens after the arrival of a charismatic mysterious young priest,medium
centers on a town where aliens with unearthly abilities live undercover among humans but when a violent attack points to a greater alien presence the politics of fear and hatred threaten to expose them,medium
a mentally unstable veteran works as a nighttime taxi driver in new york city where the perceived decadence and sleaze fuels his urge for violent action,high
an average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite as a result they find themselves in the middle of all sorts of dramas in beacon hills,medium
followup series to vikings set years afterward and centering on the adventures of leif erikson freydis harald hardrada and the norman king william the conqueror,medium
a new medical director breaks the rules to heal the system at americas oldest public hospital,high
yearold mathilda is reluctantly taken in by lon a professional assassin after her family is murdered an unusual relationship forms as she becomes his protge and learns the assassins trade,high
spoiled billionaire playboy oliver queen is missing and presumed dead when his yacht is lost at sea he returns five years later a changed man determined to clean up the city as a hooded vigilante armed with a bow,medium
an infamous caregiver is implicated in the deaths of hundreds of hospital patients,medium
four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good,high
the missions of the strategic homeland intervention enforcement and logistics division,medium
a couples relationship is tested when uninvited guests arrive at their home disrupting their tranquil existence,medium
a basketball scout discovers a phenomenal street ball player while in spain and sees the prospect as his opportunity to get back into the nba,medium
legendary manager fatih terim recounts his football journey from his playing days to coaching and leading several teams to championship glory,medium
laura and massimo are back and stronger than ever but massimos family ties and a mysterious man bidding for lauras heart complicate the lovers lives,low
the regulars of the boston bar cheers share their experiences and lives with each other while drinking or working at the bar where everybody knows your name,medium
drama series following the investigations of ac a controversial police anticorruption unit,high
on her th birthday out for lunch with her mother suddenly explodes into violence an adrift young womans conception of her mother is forever changed,medium
an undercover cop and a mole in the police attempt to identify each other while infiltrating an irish gang in south boston,high
jedi knights lead the grand army of the republic against the droid army of the separatists,high
in the vicinity of the liberated planet of bajor the federation space station deep space nine guards the opening of a stable wormhole to the far side of the galaxy,high
after being bitten by a geneticallymodified spider a shy teenager gains spiderlike abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy,medium
santo is a drug dealer whose face has never been revealed two policemen who go after him milln and cardona radically opposed will have to learn to collaborate to solve the case and keep their lives safe,low
based on the nirbhaya case delhi crime follows the delhi police investigation into the finding of the men who perpetrated this crime,high
the story of the joestar family who are possessed with intense psychic strength and the adventures each member encounters throughout their lives,high
a congressman works with his equally conniving wife to exact revenge on the people who betrayed him,high
an anthology series centered around americas most notorious crimes and criminals,high
a selfish prince is cursed to become a monster for the rest of his life unless he learns to fall in love with a beautiful young woman he keeps prisoner,medium
follows two of americas wealthiest families as they feud for control over their fortune and their children,medium
a group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate spanish teacher,medium
an irish immigrant lands in s brooklyn where she quickly falls into a romance with a local when her past catches up with her however she must choose between two countries and the lives that exist within,medium
at the height of the cold war two russian agents pose as the average american couple complete with family,high
the story behind detective james gordons rise to prominence in gotham city in the years before batmans arrival,medium
privileged teens living on the upper east side of new york can hide no secret from the ruthless blogger who is always watching,medium
with his wifes disappearance having become the focus of an intense media circus a man sees the spotlight turned on him when its suspected that he may not be innocent,high
a dramatic series about the reign and marriages of king henry viii,high
an idiosyncratic fbi agent investigates the murder of a young woman in the even more idiosyncratic town of twin peaks,high
inspired by classic film noir carson phillips an exfootball star turned pi has a soft spot for a lady in distress,low
in a wartorn world of elemental magic a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the avatar and bring peace to the world,high
explores the early relationship between renowned psychiatrist hannibal lecter and a young fbi criminal profiler who is haunted by his ability to empathize with serial killers,high
pulled to the far side of the galaxy where the federation is seventyfive years away at maximum warp speed a starfleet ship must cooperate with maquis rebels to find a way home,medium
the naval criminal investigation services office of special projects takes on the undercover work and the hard to crack cases in la key agents are g callen and sam hanna streets kids risen through the ranks,medium
eight years after anne elliot was persuaded not to marry a dashing man of humble origins they meet again will she seize her second chance at true love,low
three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take back their power,medium
pairs of siblings see each others love life up close and personal as they search for the one together will they act as the ultimate wingman to help you find love or scupper your plans,low
amid tension in s india three friends of different faiths unite in a noble yet dangerous effort to save hundreds in their town,medium
a group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives,high
michaels life seemed to be perfect until his long time partner blindsided him after years of being in long time relationship he has to confront the nightmares of losing his soulmate and suddenly finding himself as a single gay man in his mids,medium
walt longmire is the dedicated and unflappable sheriff of absaroka county wyoming widowed only a year he is a man in psychic repair but buries his pain behind his brave face unassuming grin and dry wit,high
days after letters containing fatal anthrax spores spark panic and tragedy in the us this documentary follows the subsequent fbi investigation,medium
a whitecollar criminal agrees to help the fbi catch other whitecollar criminals using his expertise as an art and securities thief counterfeiter and conman,high
white noise dramatizes a contemporary american familys attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love death and the possibility of happiness in an uncertain world,low
after tonys wife dies his niceguy persona is altered into an impulsive devilmaycare attitude that takes his old world by storm,high
a group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a longburied secret,medium
the personal exploits of a yearold girl and her family and friends during the troubles in the early s,high
fugitive jesse pinkman runs from his captors the law and his past,medium
a sexual consent scandal amongst british privileged elite and the women caught up in its wake,medium
after his master dies a peasant squire fueled by his desire for food and glory creates a new identity for himself as a knight,medium
devoted lifeguard mitch buchannon butts heads with a brash new recruit as they uncover a criminal plot that threatens the future of the bay,low
after climbing broad peak mountain maciej berbeka learns his journey to the summit is incomplete years later he sets out to finish what he started,low
a homicide detective discovers he is a descendant of hunters who fight supernatural forces,medium
when a young girl stows away on the ship of a legendary sea monster hunter they launch an epic journey into uncharted waters and make history to boot,medium
during wwii two intelligence officers use a corpse and false papers to outwit german troops,medium
the fate of two people becomes twisted due to hwanhonsool the soul of the dead return to the living,high
thirty years after their popular television show ended chipmunks chip and dale live very different lives when a cast member from the original series mysteriously disappears the pair must reunite to save their friend,medium
pressured by their parents to find spouses asha and ravi pretend to date during a summer of weddings only to find themselves falling for each other,medium
follows captain flint and his pirates twenty years prior to robert louis stevensons classic novel treasure island,high
a devoted father helps two stranded young women who knock on his door but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse,low
a modern take on the cases of sherlock holmes with the detective now living in new york city,medium
follows teenager clay jensen in his quest to uncover the story behind his classmate and crush hannah and her decision to end her life,medium
after fleeing an abusive relationship a young mother finds a job cleaning houses as she fights to provide for her child and build them a better future,high
hal wayward prince and heir to the english throne is crowned king henry v after his tyrannical father dies now the young king must navigate palace politics the war his father left behind and the emotional strings of his past life,medium
after accidentally crashlanding in timetraveling fighter pilot adam reed teams up with his yearold self for a mission to save the future,medium
two london drug dealers ply their lucrative trade at a public housing estate in east london,high
a young american woman from the midwest is hired by a marketing firm in paris to provide them with an american perspective on things,medium
good girl sandy olsson and greaser danny zuko fell in love over the summer when they unexpectedly discover theyre now in the same high school will they be able to rekindle their romance,medium
an idealistic fbi agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the us and mexico,medium
sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality,medium
three sisters with a close bond who grew up in poverty it is the exciting story of the sisters as they get embroiled in a major incident and face off against the wealthiest family in the nation,high
a seemingly cold but very passionate policewoman goes head to head with a seemingly passionate father who is in fact a cold serial killer in this procedural out of belfast the only thing they share is their common complexity,high
when three workingclass teenagers begin attending an exclusive private school in spain the clash between them and the wealthy students leads to murder,medium
elle woods a fashionable sorority queen is dumped by her boyfriend she decides to follow him to law school while she is there she figures out that there is more to her than just looks,medium
after uncovering a mysterious artifact buried beneath the lunar surface a spacecraft is sent to jupiter to find its origins a spacecraft manned by two men and the supercomputer hal,high
kern county deputy sheriff joe deacon is sent to los angeles for what should have been a quick evidencegathering assignment instead he becomes embroiled in the search for a serial killer who is terrorizing the city,medium
a demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman,medium
naruto uzumaki a mischievous adolescent ninja struggles as he searches for recognition and dreams of becoming the hokage the villages leader and strongest ninja,high
the murder of a young boy in a small coastal town brings a media frenzy which threatens to tear the community apart,high
an eccentric genius forms an international network of supergeniuses to act as the last line of defense against the complicated threats of the modern world,medium
during her familys move to the suburbs a sullen yearold girl wanders into a world ruled by gods witches and spirits and where humans are changed into beasts,high
a yearold boy and his best friend wise yearold dog with magical powers go on a series of surreal adventures with each other in a remote future,high
a series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret,high
in s los angeles a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star,medium
a lowlevel cabinet member becomes president of the united states after a catastrophic attack kills everyone above him in the line of succession,medium
in transylvania the blooddrinking count draws his plans against victorian london,medium
the rise of the guadalajara cartel as an american dea agent learns the danger of targeting narcos in mexico,high
king leonidas of sparta and a force of men fight the persians at thermopylae in bc,medium
after her job and relationship implode on the same day sofia starts from scratch and meets a dashing spanish chef who might be her missing ingredient,low
nearly three decades after the discovery of the tvirus an outbreak reveals the umbrella corporations dark secrets,low
ginny miller an angsty fifteenyearold often feels more mature than her thirtyyearold mother the irresistible and dynamic georgia miller,medium
finding out that their husbands are not just work partners but have also been romantically involved for the last twenty years two women with an already strained relationship try to cope with the circumstances together,high
the worlds deadliest assassin and new yorks biggest screwup are mistaken for each other at an airbnb rental,low
seven years after the world has become a frozen wasteland the remnants of humanity inhabit a perpetuallymoving train that circles the globe where class warfare social injustice and the politics of survival play out,medium
a police investigation the saga of a grieving family and a seattle mayoral campaign all interlock after the body of yearold rosie larsen is found in the trunk of a submerged car,high
charismatic rancher phil burbank inspires fear and awe in those around him when his brother brings home a new wife and her son phil torments them until he finds himself exposed to the possibility of love,medium
after being coerced into working for a crime boss a young getaway driver finds himself taking part in a heist doomed to fail,medium
after an au pairs tragic death henry hires a young american nanny to care for his orphaned niece and nephew who reside at bly manor with the chef owen groundskeeper jamie and housekeeper mrs grose,medium
a superheroloving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero,high
a linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world,medium
maverick teacher john keating uses poetry to embolden his boarding school students to new heights of selfexpression,high
across different eras a poor family an anxious developer and a fedup landlady become tied to the same mysterious house in this animated dark comedy,medium
the story of a group of british teens who are trying to grow up and find love and happiness despite questionable parenting and teachers who would rather be friends and lovers than authority figures,high
follows a renowned mexican journalist and documentary filmmaker who returns home and works through an existential crisis as he grapples with his identity familial relationships the folly of his memories,medium
two scheming demon brothers wendell and wild must face their archnemesis the demondusting nun sister helly and her two acolytes the goth teens kat and raul however raul cannot see them so kat helps wendell and wild to help him,medium
when a handsome neighbor moves in across the street anna a heartbroken woman for whom every day is the same starts to see a light at the end of the tunnel that is until she witnesses a gruesome murder or did she,medium
after awakening from a fouryear coma a former assassin wreaks vengeance on the team of assassins who betrayed her,high
it follows louise a single mom with a son and a parttime job in a psychiatrists office she begins an affair with her boss and strikes up an unlikely friendship with his wife,medium
high school student ichigo kurosaki who has the ability to see ghosts gains soul reaper powers from rukia kuchiki and sets out to save the world from hollows,high
with his debts mounting and angry collectors closing in a fasttalking new york city jeweler risks everything in hope of staying afloat and alive,medium
a biologist signs up for a dangerous secret expedition into a mysterious zone where the laws of nature dont apply,medium
an ancient egyptian princess is awakened from her crypt beneath the desert bringing with her malevolence grown over millennia and terrors that defy human comprehension,low
a streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her,high
set in a future where consciousness is digitized and stored a prisoner returns to life in a new body and must solve a mindbending murder to win his freedom,medium
the adventures of supermans cousin in her own superhero career,medium
a chronicle of the decadelong hunt for alqaeda terrorist leader osama bin laden after the september attacks and his death at the hands of the navy seals team in may,medium
hitman frank sheeran looks back at the secrets he kept as a loyal member of the bufalino crime family,medium
when the islands dormant volcano begins roaring to life owen and claire mount a campaign to rescue the remaining dinosaurs from this extinctionlevel event,medium
teenage friends find their lives upended by the wonders and horrors of puberty,medium
as her th birthday nears sabrina must choose between the witch world of her family and the human world of her friends based on the archie comic,medium
an intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it,high
on the eve of their highschool graduation two academic superstars and best friends realize they should have worked less and played more determined not to fall short of their peers the girls try to cram four years of fun into one night,medium
a crash course in the turbulence of being a teen is always on the schedule for the students at hartley high school in this s series set in sydney,medium
james is and is pretty sure he is a psychopath alyssa also is the cool and moody new girl at school the pair make a connection and she persuades him to embark on a road trip in search of her real father,high
a frontiersman on a fur trading expedition in the s fights for survival after being mauled by a bear and left for dead by members of his own hunting team,high
an interpol agent successfully tracks down the worlds most wanted art thief with help from a rival thief but nothing is as it seems as a series of doublecrosses ensue,medium
